"Title","Subtitle","CELEX number","Initiating document","Procedure reference","Initial reference","Adopted acts","Current consolidated version","Latest consolidated version","Procedure status","LP_Legal basis","Cellar reference","ELI","Date created","Latest modification of notice","Form","EUROVOC descriptor","ECLI identifier","Subject matter","Subject matter, 1st level","Subject matter, 2nd level","Subject matter, 3rd level","Subject matter, 4th level","Directory code","Directory code, 1st level","Directory code, 2nd level","Directory code, 3rd level","Directory code, 4th level","Directory code, 5th level","Directory code, 6th level","Case-Law directory code (before Lisbon)","Case-Law directory code (after Lisbon)","Treaty","Legal basis","Consolidation: basic act","Instruments cited","Related document(s)","Instruments involved","Modifies","Case affecting","Earlier related instruments","Transposed legal act(s)","Modified by","Rectified by","Subsequent related instruments","Affected by case","Observations","National court","Comments","Internal comment","Additional information","Notes relating to the decision","Collection of the document","Date of document","Date of publication","Author","Document sector","Document year","Document type","Document number","Document corrigendum","Date of effect","Date of end of validity","Date of transposition","In force indicator","Entry in the directory","Number of pages","Publication Reference",
"2006/889/EC: Decision of the European Central Bank of 24 November 2006 on the approval of the volume of coin issuance in 2007 (ECB/2006/19)","","32006D0019(01)","","","","","","",,"","3649a8b3-659c-414c-8504-357e0db3f49b","http://data.europa.eu/eli/dec/2006/889/oj","2006-12-12","051105/11/2022 13:59:272022","Decision","European Central Bank, participating country, euro, issuing of currency","","Economic and Monetary Union, Economic and monetary policy, European Central Bank (ECB), Banknotes and coins, means of payment and currency matters, Coin issuance","Economic and Monetary Union, Economic and monetary policy, European Central Bank (ECB)","Banknotes and coins, means of payment and currency matters","Coin issuance","","Economic and monetary policy and free movement of capital, Economic policy, Economic and monetary union","Economic and monetary policy and free movement of capital","Economic policy","Economic and monetary union","","","","","","Treaty establishing the European Community (consolidated version 1992)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12002E106","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12003T0004, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32006D0495","","","","","","","","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2006-11-24","2006-12-11, 2007-01-01","European Central Bank","3","2006","D","0019","","2006-11-24","No end date","","true","REP","1","OJ L 348, 11/12/2006, p. 52–52
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		BG, RO)
		",
"Guideline of the European Central Bank of 10 November 2006 on the legal framework for accounting and financial reporting in the European System of Central Banks (ECB/2006/16)","","32006O0016","","","","","","2009-12-31",,"","95954ff4-73ba-4e96-b1b0-53e34ceed02b","http://data.europa.eu/eli/guideline/2006/887/oj","2006-12-12","100810/08/2022 05:44:002022","Guideline","financial instrument, financial situation, European System of Central Banks, exchange transaction, participating country, standardised accounting system, exchange of information, balance sheet, European Central Bank","","European Central Bank (ECB), Euro, Economic and Monetary Union, ECB institutional provisions, Accounting and reporting","European Central Bank (ECB), Euro, Economic and Monetary Union","ECB institutional provisions","Accounting and reporting","","Economic and monetary policy and free movement of capital, Economic and monetary policy and free movement of capital, Monetary policy, Economic policy, Direct instruments of monetary policy, Economic and monetary union","Economic and monetary policy and free movement of capital, Economic and monetary policy and free movement of capital","Monetary policy, Economic policy","Direct instruments of monetary policy, Economic and monetary union","","","","","","Treaty establishing the European Community (consolidated version 1992)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/14, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/26, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/12","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32002O0010","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009O0018, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009O0028, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32007O0020, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32008O0021, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32010O0020","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2006-11-10","2006-12-11, 2007-01-01","European Central Bank","3","2006","O","0016","","2007-01-01","2010-12-30","","false","REP","37","OJ L 348, 11/12/2006, p. 1–37
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		BG, RO)
		",
"2006/888/EC: Decision of the European Central Bank of 10 November 2006 on the annual accounts of the European Central Bank (ECB/2006/17)","","32006D0017(01)","","","","","","2009-12-31",,"","6e9cece1-b465-45cb-bee7-14b3eb41b42c","http://data.europa.eu/eli/dec/2006/888/oj","2006-12-12","280728/07/2022 14:44:112022","Decision","standardised accounting system, balance sheet, European Central Bank, financial regulation, account","","Provisions governing the Institutions, European Central Bank (ECB), European Central Bank (ECB), ECB institutional provisions, Accounting and reporting","Provisions governing the Institutions, European Central Bank (ECB), European Central Bank (ECB)","ECB institutional provisions","Accounting and reporting","","General, financial and institutional matters, Provisions governing the institutions, European System of Central Banks","General, financial and institutional matters","Provisions governing the institutions","European System of Central Banks","","","","","","Treaty establishing the European Community (consolidated version 1992)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/26","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32006O0016","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32006D0003, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32005D0012(02), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32002D0011(01)","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32007D0021(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009D0019(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32008D0022(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009D0029(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32010D0021","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2006-11-10","2006-12-11, 2007-01-01","European Central Bank","3","2006","D","0017","","2007-01-01","2010-12-30","","false","REP","14","OJ L 348, 11/12/2006, p. 38–51
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		BG, RO)
		",
"Recommendation of the European Central Bank of 13 November 2006 to the Council of the European Union on the external auditors of the Banco de España (ECB/2006/18)","","52006HB0018","","","","","","",,"","8f887145-2dfa-4796-ae5c-d116dfce8fc0","","2006-11-22","201120/11/2022 14:51:152022","Recommendation","Spain, accountant, auditing, central bank, European Central Bank","","Provisions governing the Institutions, European Central Bank (ECB), ECB institutional provisions, Auditing","Provisions governing the Institutions, European Central Bank (ECB)","ECB institutional provisions","Auditing","","General, financial and institutional matters, Provisions governing the institutions, European Central Bank","General, financial and institutional matters","Provisions governing the institutions","European Central Bank","","","","","","Treaty establishing the European Community (consolidated version 1992)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/27","","","","","","","","","","","","","","","MAN2, INFO1","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS, PUBLISHED_IN_OJ","2006-11-13","2006-11-21","European Central Bank","5","2006","HB","0018","","","No end date","","","","1","OJ C 283, 21/11/2006, p. 16–16
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV)",
"Regulation (EC) No 1637/2006 of the European Central Bank of 2 November 2006 concerning transitional provisions for the application of minimum reserves by the European Central Bank following the introduction of the euro in Slovenia (ECB/2006/15)","","32006R1637","","","","","","",,"","ad12af98-b023-4954-bc4e-4878d2608bd2","http://data.europa.eu/eli/reg/2006/1637/oj","2006-11-09","030803/08/2022 09:41:152022","Regulation","European Central Bank, European System of Central Banks, central bank, financial institution, Slovenia, reserves","","European Central Bank (ECB), Economic and Monetary Union, Economic and monetary policy, Monetary policy and Operations, Minimum reserves","European Central Bank (ECB), Economic and Monetary Union, Economic and monetary policy","Monetary policy and Operations","Minimum reserves","","Economic and monetary policy and free movement of capital, General, financial and institutional matters, Monetary policy, Provisions governing the institutions, European System of Central Banks","Economic and monetary policy and free movement of capital, General, financial and institutional matters","Monetary policy, Provisions governing the institutions","European System of Central Banks","","","","","","Treaty establishing the European Community (consolidated version 1992)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32001R2423, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R2531, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32003R1745, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/19, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R2532, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/47","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32003R1745","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32006R1637R(01)","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2006-11-02","2007-12-01, 2006-11-07, 2007-01-01, 2014-11-18","European Central Bank","3","2006","R","1637","","2006-11-08","No end date","","true","REP","2","OJ L 306, 07/11/2006, p. 15–16
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), OJ L 314M, 01/12/2007, p. 327–328
		 (MT), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",
"Recommendation of the European Central Bank of 6 October 2006 on the adoption of certain measures to protect euro banknotes more effectively against counterfeiting (ECB/2006/13)","","52006HB0013","","","","","","",,"","b1ee671a-8399-40c9-835c-fc64693b6950","","2006-10-27","261126/11/2022 07:06:312022","Recommendation","proof, paper money, industrial counterfeiting, euro, judicial proceedings","","Economic and monetary policy, Economic and Monetary Union, European Central Bank (ECB), Banknotes and coins, means of payment and currency matters, Protection of the euro","Economic and monetary policy, Economic and Monetary Union, European Central Bank (ECB)","Banknotes and coins, means of payment and currency matters","Protection of the euro","","Economic and monetary policy and free movement of capital, General, financial and institutional matters, Economic policy, Provisions governing the institutions, Economic and monetary union, European Central Bank","Economic and monetary policy and free movement of capital, General, financial and institutional matters","Economic policy, Provisions governing the institutions","Economic and monetary union, European Central Bank","","","","","","Treaty establishing the European Community (consolidated version 1992)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/34, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/16, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12002E106","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32001R1338","","","","","","","","","","","","","MAN2, INFO1","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS, PUBLISHED_IN_OJ","2006-10-06","2006-10-25","European Central Bank","5","2006","HB","0013","","","No end date","","","","3","OJ C 257, 25/10/2006, p. 16–18
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV)",
"Recommendation of the European Central Bank of 9 October 2006 to the Council of the European Union on the external auditors of Banka Slovenije (ECB/2006/14)","","52006HB0014","","","","","","",,"","8891a772-8883-4141-89c7-918f7b27393e","","2006-10-27","271127/11/2022 10:24:282022","Recommendation","Slovenia, accountant, auditing, central bank, European Central Bank","","Provisions governing the Institutions, European Central Bank (ECB), ECB institutional provisions, Auditing","Provisions governing the Institutions, European Central Bank (ECB)","ECB institutional provisions","Auditing","","General, financial and institutional matters, General, financial and institutional matters, Provisions governing the institutions, Provisions governing the institutions, European Central Bank","General, financial and institutional matters, General, financial and institutional matters","Provisions governing the institutions, Provisions governing the institutions","European Central Bank","","","","","","Treaty establishing the European Community (consolidated version 1992)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/27","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32006D0495","","","","","","","","","","","","","MAN2, INFO1","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS, PUBLISHED_IN_OJ","2006-10-09","2006-10-25","European Central Bank","5","2006","HB","0014","","","No end date","","","","1","OJ C 257, 25/10/2006, p. 19–19
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV)",
"Guideline of the European Central Bank of 3 August 2006 amending Guideline ECB/2005/16 on a Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET) (ECB/2006/11)","","32006O0011","","","","","","",,"","b4bb602f-1714-4fca-83bb-4b3bea684edf","http://data.europa.eu/eli/guideline/2006/562/oj","2006-08-16","040804/08/2022 11:26:112022","Guideline","capital transfer, intra-EU payment, electronic banking, European Central Bank, central bank, trans-European network","","European Central Bank (ECB), Euro, European Central Bank (ECB), Economic and Monetary Union, Payment and settlement systems, Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET)","European Central Bank (ECB), Euro, European Central Bank (ECB), Economic and Monetary Union","Payment and settlement systems","Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET)","","Economic and monetary policy and free movement of capital, Economic and monetary policy and free movement of capital, Monetary policy, Economic policy, Direct instruments of monetary policy, Economic and monetary union","Economic and monetary policy and free movement of capital, Economic and monetary policy and free movement of capital","Monetary policy, Economic policy","Direct instruments of monetary policy, Economic and monetary union","","","","","","Treaty establishing the European Community (consolidated version 1992)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/03, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/14, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/22, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/18, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12002E105, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/17, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/12","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32005O0016","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32007O0002","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2006-08-03","2006-08-12, 2007-05-08, 2007-01-01","European Central Bank","3","2006","O","0011","","2007-01-01, 2006-08-15","2008-09-14","","false","LIE","2","OJ L 221, 12/08/2006, p. 17–18
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), OJ L 118M, 08/05/2007, p. 1085–1086
		 (MT), This document has been published in a special edition(s) (
           		BG, RO)
		",
"Guideline of the European Central Bank of  24 July 2006  on the exchange of banknotes after the irrevocable fixing of exchange rates in connection with the introduction of the euro  (ECB/2006/10)","","32006O0010","","","","","","",,"","3e344870-172c-4cdc-a9b4-fbebbc470420","http://data.europa.eu/eli/guideline/2006/549/oj","2006-08-08","200720/07/2022 00:37:102022","Guideline","European Central Bank, monetary integration, currency convertibility, euro, third stage of EMU, paper money","","Economic policy, European Central Bank (ECB), Economic and Monetary Union, Banknotes and coins, means of payment and currency matters, Cash changeover","Economic policy, European Central Bank (ECB), Economic and Monetary Union","Banknotes and coins, means of payment and currency matters","Cash changeover","","Economic and monetary policy and free movement of capital, Economic policy, Economic and monetary union","Economic and monetary policy and free movement of capital","Economic policy","Economic and monetary union","","","","","","Treaty establishing the European Community (consolidated version 1992)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12002E106, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/52","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R0974","","","","","","","","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2006-07-24","2006-08-05, 2007-05-08, 2007-01-01, 2014-12-09","European Central Bank","3","2006","O","0010","","2006-07-24","No end date","","true","REP","3","OJ L 215, 05/08/2006, p. 44–46
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), OJ L 118M, 08/05/2007, p. 1061–1063
		 (MT), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",
"Guideline of the European Central Bank of  14 July 2006  on certain preparations for the euro cash changeover and on frontloading and sub-frontloading of euro banknotes and coins outside the euro area  (ECB/2006/9)","","32006O0009","","","","","2008-07-05","2008-07-05",,"","4491729d-1a40-4407-8bc1-4dd013f83cc4","http://data.europa.eu/eli/guideline/2006/525/oj","2006-07-31","280728/07/2022 17:30:132022","Guideline","central bank, euro, paper money, euro area, issuing of currency","","European Central Bank (ECB), Economic and monetary policy, Euro, Banknotes and coins, means of payment and currency matters, Cash changeover","European Central Bank (ECB), Economic and monetary policy, Euro","Banknotes and coins, means of payment and currency matters","Cash changeover","","Economic and monetary policy and free movement of capital, Economic and monetary policy and free movement of capital, Economic policy, Monetary policy, Economic and monetary union","Economic and monetary policy and free movement of capital, Economic and monetary policy and free movement of capital","Economic policy, Monetary policy","Economic and monetary union","","","","","","Treaty establishing the European Community (consolidated version 1992)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12002E106, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/16, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/26","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32000L0012, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32001R2423, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32000O0007, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R0974","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32008O0004, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32006O0009R(01)","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2006-07-14","2007-05-08, 2006-07-28, 2007-01-01, 2014-12-09","European Central Bank","3","2006","O","0009","","2006-07-19","No end date","","true","REP","8","OJ L 207, 28/07/2006, p. 39–46
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), OJ L 118M, 08/05/2007, p. 1008–1015
		 (MT), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",
"Regulation (EC) No 1027/2006 of the European Central Bank of  14 June 2006  on statistical reporting requirements in respect of post office giro institutions that receive deposits from non-monetary financial institution euro area residents  (ECB/2006/8)","","32006R1027","","","","","","",,"","083ea582-9987-4afb-bbea-9e003c993b8f","http://data.europa.eu/eli/reg/2006/1027/oj","2006-07-07","180718/07/2022 12:51:572022","Regulation","post office financial services, financial statistics, euro area, data collection, exchange of information, European System of Central Banks, European Central Bank","","Economic and Monetary Union, Information and verification, European Central Bank (ECB), European Central Bank (ECB), Statistics, Monetary, financial institutions and markets statistics","Economic and Monetary Union, Information and verification, European Central Bank (ECB), European Central Bank (ECB)","Statistics","Monetary, financial institutions and markets statistics","","Economic and monetary policy and free movement of capital, Law relating to undertakings, General, financial and institutional matters, Monetary policy, Economic and commercial law, Provisions governing the institutions, Indirect instruments of monetary policy, Other economic and commercial provisions, European System of Central Banks","Economic and monetary policy and free movement of capital, Law relating to undertakings, General, financial and institutional matters","Monetary policy, Economic and commercial law, Provisions governing the institutions","Indirect instruments of monetary policy, Other economic and commercial provisions, European System of Central Banks","","","","","","Treaty establishing the European Community (consolidated version 1992)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R2533","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32001R2423, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32003O0002, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31986L0635, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31996R2223","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32006R1027R(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R1074","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2006-06-14","2006-07-06, 2007-12-01, 2007-01-01, 2013-06-28","European Central Bank","3","2006","R","1027","","2006-07-07","2014-12-31","","false","REP","13","OJ L 184, 06/07/2006, p. 12–24
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), OJ L 314M, 01/12/2007, p. 106–118
		 (MT), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",
"2006/385/EC: Decision of the European Central Bank of  19 May 2006  amending Decision ECB/2001/16 on the allocation of monetary income of the national central banks of participating Member States from the financial year 2002  (ECB/2006/7)","","32006D0007(01)","","","","","","",,"","e815cf98-3e3d-4979-8bcf-ecd66f6e8e9c","http://data.europa.eu/eli/dec/2006/385/oj","2006-06-06","160816/08/2022 18:07:122022","Decision","euro area, European Central Bank, European System of Central Banks, Member States' contribution, monetary policy, central bank","","European Central Bank (ECB), Provisions governing the Institutions, European Central Bank (ECB), ECB institutional provisions, Monetary income","European Central Bank (ECB), Provisions governing the Institutions, European Central Bank (ECB)","ECB institutional provisions","Monetary income","","General, financial and institutional matters, Provisions governing the institutions, European Central Bank","General, financial and institutional matters","Provisions governing the institutions","European Central Bank","","","","","","Treaty on European Union (1992)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/32","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R0974","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32001D0016(01)","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32010D0023","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2006-05-19","2006-06-02, 2007-05-08, 2007-01-01","European Central Bank","3","2006","D","0007","","2006-05-20","2010-12-30","","false","LIE","5","OJ L 148, 02/06/2006, p. 56–60
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), OJ L 118M, 08/05/2007, p. 826–830
		 (MT), This document has been published in a special edition(s) (
           		BG, RO)
		",
"Guideline of the European Central Bank of  20 April 2006  amending Guideline ECB/2002/7 on the statistical reporting requirements of the European Central Bank in the field of quarterly financial accounts  (ECB/2006/6)","","32006O0006","","","","","","",,"","34d37ee9-0ea0-4efb-8826-5663a8e052a5","http://data.europa.eu/eli/guideline/2006/312/oj","2006-05-02","081108/11/2022 11:33:202022","Guideline","financial statistics, European Central Bank, disclosure of information, account, Luxembourg, EU statistics, derogation from EU law","","European Central Bank (ECB), Information and verification, Economic and Monetary Union, European Central Bank (ECB), Statistics, Financial accounts","European Central Bank (ECB), Information and verification, Economic and Monetary Union, European Central Bank (ECB)","Statistics","Financial accounts","","Economic and monetary policy and free movement of capital, Law relating to undertakings, General, financial and institutional matters, Monetary policy, Economic and commercial law, Provisions governing the institutions, Indirect instruments of monetary policy, Other economic and commercial provisions, European System of Central Banks","Economic and monetary policy and free movement of capital, Law relating to undertakings, General, financial and institutional matters","Monetary policy, Economic and commercial law, Provisions governing the institutions","Indirect instruments of monetary policy, Other economic and commercial provisions, European System of Central Banks","","","","","","Treaty on European Union (1992)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/14, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/05, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/12","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32005O0013","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32002O0007","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013O0024","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2006-04-20","2006-04-28, 2007-05-08, 2007-01-01, 2013-06-03","European Central Bank","3","2006","O","0006","","2006-04-29","2014-08-31","","false","LIE","3","OJ L 115, 28/04/2006, p. 46–48
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), OJ L 118M, 08/05/2007, p. 652–654
		 (MT), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",
"Recommendation of the European Central Bank of  13 April 2006  to the Council of the European Union on the external auditors of the Banque de France (ECB/2006/5)","","52006HB0005","","","","","","",,"","b4c781b2-42d6-4807-a5fd-42cc659a815f","","2006-04-27","131113/11/2022 14:08:542022","Recommendation","accountant, France, appointment of staff, central bank","","European Central Bank (ECB), Provisions governing the Institutions, European Central Bank (ECB), ECB institutional provisions, Auditing","European Central Bank (ECB), Provisions governing the Institutions, European Central Bank (ECB)","ECB institutional provisions","Auditing","","General, financial and institutional matters, General, financial and institutional matters, Provisions governing the institutions, Provisions governing the institutions, European Central Bank","General, financial and institutional matters, General, financial and institutional matters","Provisions governing the institutions, Provisions governing the institutions","European Central Bank","","","","","","Treaty on European Union (1992)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992M/PRO/SEBC/27","","","","","","","","","","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS, PUBLISHED_IN_OJ","2006-04-13","2006-04-26","European Central Bank","5","2006","HB","0005","","","No end date","","","","1","OJ C 98, 26/04/2006, p. 25–25
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV)",
